basin_id,mse,mae,rmse,nse,kge,n_samples
11468500,1.127862231387182,0.619913745712448,1.062008583480935,0.8623232759729247,0.6158596266430896,91
14308990,0.762441398279169,0.6004160172060916,0.8731789039361687,0.8507169915466706,0.745679394492742,76
13337000,1.7340467823455321,0.8508579475539071,1.3168321010461175,0.8423292968354469,0.7977728138111069,91
13310700,1.0051766587193656,0.7318350231492674,1.0025849882774853,0.8382131360696505,0.6146936445351205,77
12374250,0.25039460443621353,0.2996843211791095,0.5003944488463211,0.5885822239467258,0.47492236413615074,85
12092000,9.312833531971485,2.26413556769654,3.051693551451634,0.4546119929423055,0.7002880586892966,91
07167500,17.500354721613487,0.7974013902328827,4.183342529797613,0.0268086377307325,-0.28418307763538064,91
04196800,1.4718296493446563,0.5924592332525568,1.2131898653321567,-0.03281003812289285,-0.18486924283059225,91
12048000,12.463585801929879,2.0394088449058954,3.5303804047056855,-1.2193794183647833,0.09849006093901658,91
10258500,0.10478190874386113,0.25620284316303965,0.32370033788036295,-8.455530672239377,-6.240176713442258,91
