month,mse,mae,rmse,nse,kge,observed_mean,predicted_mean,n_samples
1,15.195656172885466,1.589187809012153,3.8981606140442016,0.13752467416803094,0.2339868887500205,2.3464870046485555,3.534710396419872,110
2,5.28702671335993,1.098660261631012,2.2993535424896994,0.47179032137527055,0.6026919369197636,2.0927345061302187,2.710031590461731,50
3,2.816927705772724,1.0940193504095077,1.6783705507940503,0.12652740007066043,0.5136179360518385,1.7923830032348633,2.262531180183093,60
4,9.72585233402327,1.532644453294137,3.118629880896941,-0.8761997160581274,0.14133207997266384,2.1463874657364452,2.9579624077853035,68
5,8.069207412934938,1.57296680867135,2.84063503691251,0.4477240376211855,0.7045865171437796,3.134582079208649,3.3144276066943332,111
6,31.93538983945246,1.9444986542065938,5.651140578631225,0.11862379287622171,0.06674892863956872,3.5032071352005003,2.003954486052195,60
7,1.1303453387203495,0.5960604866345723,1.06317700253549,0.6964791495926157,0.645827561404211,1.3664854367574055,1.127203094959259,60
8,0.9609453395223104,0.47166004929787075,0.9802781949642205,0.5428997970392944,0.40138707683402874,0.7169629381253169,0.5890768147431887,78
9,0.7087886358650688,0.4370332858064672,0.8418958580876074,0.49418607410464566,0.6438144314984423,0.6360816654268202,0.7283602081812345,91
10,0.27031427830046206,0.3392228941122691,0.5199175687553385,0.7220382349482355,0.6622524917508537,0.5231518467267354,0.6854261855284373,60
11,6.416353934018039,0.9961156904697418,2.5330522959500934,-0.10673553619358245,-0.11594681272036245,1.2581177592277526,2.0642845491568247,60
12,1.4184617252236793,0.6908902223430463,1.1909919081268685,0.47296983321632036,0.3495328354458025,0.9966899921644979,1.4962458210204965,67
